Anthropicaware,BDaware,DMaware,OAaware,AFaware,AGaware,CGPTaware,Ciceroaware,Claudeaware,GPT4aware,Sophiaaware,NNaware,TFaware,TSaware,Amariaware,SCaware,chatbottrust,LLMtrust,robottrust,gameAItrust,relativeLLMchatbottrust,trainingdatatrust,algorithmtrust,outputtrust,companytrust,engineertrust,governmenttrust,admiration,awe,pride,compassion,excitement,respect,AID1,AID2,AID3,AID4,AID5,RS1,RS2,RS3,RS4,RS5,RS6,RS7,RS8,RS9,SI1,SI2,SI3,SI4,PMC1,PMC3,PMC4,PMC8,PMC9,PMC10,PMC11,PMC12,PMC13,LLM1,LLM2,LLM3,MP1,MP2,MP3,MP4,owngoals,safegoals,upholding,selfaware,sitaware,selfcontrol,understanding,friendliness,power,ownmotives,MCE1,MCE2,MCE3,MCE4,MCE5,MCE6,F1,F11,chatGPTsentient,emergence,HLAIemergence,SIemergence,SF1,SF2,upload1,upload2,universe,YG1,YG2,YG3,YG4,MCA1,MCA2,MCEn1,MCEn2,attention,own,work,smart,exper,fint,fexp,politics,religion,relelse,diet,feedback,minutes,age,gender,region,raceethnicity,education,income,zipcode,Pcode,religionRNR,dietMR,exp_seen_abuse,exp_video_abuse,exp_conv_robot,exp_book_article,exp_conv_friend,exp_none,exp_prop,RS1_r,education_recode,age_recode,income_recode,weight
(6) definitely no,(5) no,(6) definitely no,(3) probably yes,(6) definitely no,(6) definitely no,(1) definitely yes,(6) definitely no,(6) definitely no,(5) no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,1,1,1,1,1,1,1,1,1,1.12,1,1,1.54,1,1,1,1,No,Not sure,Yes,7,It's too fast.,3,2,6,7,7,1,7,7,3,5,6,7,7,7,7,7,1,1,1,1,1,1,1,1,1,0,0,5,1,0,0,6,5,5,5,5,29,3,0,1,1,1,1,1,1,No,Yes,No,50,100,50,2,6,3.16,1,One with humans,Not at all concerned,Somewhat likely,Strongly support,Not sure,7,7,7,7,(2) agree,No,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",1,1,1.68,Agnostic,,Meat-eater,,12.4,20,Female,West,Hispanic,5,52500,91342,11,1,0,0,0,0,0,1,0,0.2,5,high,18_34,50000_74999,0.986002638
(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(1) definitely yes,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(3) probably yes,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,2,4,5,1,3,2.92,1.24,1.24,1.18,4,2.8,1.24,2.92,1.36,1.12,1.6,2.98,No,No,Yes,7,It's too fast.,2,2,7,7,7,1,5,6,5,7,5,7,6,7,6,7,3,1,6,3,1,3,6,3,1,3,2,90,91,21,90,4,7,26,15,5,49,15,4,3,6,7,1,4,1,No,Yes,No,0,0,0,2,2,1.06,1,One with humans,Not very concerned,Somewhat likely,Strongly support,Strongly support,6,6,7,7,(2) agree,Yes,Yes,Yes,"[""None of the above""]",1,1,1.12,Catholic,,Meat-eater,Interesting and timely (or untimely) survey.,19.43,68,Female,West,Hispanic,11,87500,96826,12,0,0,0,0,0,0,0,1,0,6,post_grad,55_,75000_99999,0.889616896
(3) probably yes,(3) probably yes,(1) definitely yes,(2) yes,(2) yes,(2) yes,(1) definitely yes,(2) yes,(3) probably yes,(2) yes,(2) yes,(3) probably yes,(1) definitely yes,(4) probably no,(3) probably yes,(3) probably yes,2,1,3,5,3,2.86,2.44,4.12,3.04,5.32,2.32,3.04,4,5.02,2.68,4.72,3.28,No,No,Yes,7,It's too fast.,1,7,6,7,7,1,7,6,7,7,7,7,7,6,7,6,2,6,6,2,3,3,5,3,3,18,31,69,28,47,33,29,34,44,29,29,46,65,26,5,3,3,3,2,3,No,No,No,10,20,20,7,3,4.06,3,One with humans,Very concerned,Very likely,Strongly support,Strongly support,7,6,6,6,(2) agree,No,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",3,3,3.08,Jewish,,Meat-eater,Nothing,9.57,49,Male,Northeast,Hispanic,8,92500,8520,13,0,0,0,0,0,0,1,0,0.2,7,some_college,35_54,75000_99999,1.261529392
(1) definitely yes,(1) definitely yes,(1) definitely yes,(1) definitely yes,(1) definitely yes,(1) definitely yes,(1) definitely yes,(1) definitely yes,(1) definitely yes,(1) definitely yes,(1) definitely yes,(2) yes,(1) definitely yes,(5) no,(1) definitely yes,(4) probably no,6,7,6,7,7,6.22,6.88,6.82,5.44,6.82,5.32,6.94,7,6.94,6.94,6.52,6.46,Yes,Yes,Yes,7,Not sure,7,2,6,3,3,5,2,2,6,7,5,5,6,3,2,3,5,2,6,2,3,3,7,6,3,38,27,95,84,37,92,77,43,43,84,58,76,26,33,5,2,2,1,6,2,No,Yes,No,0,20,30,7,2,4.3,6,One with humans,Not very concerned,Somewhat likely,Somewhat oppose,Somewhat oppose,6,5,7,7,(2) agree,Yes,Yes,Yes,"[""Had a conversation with a robot/AI"",""Had a conversation with a family member or friend about robots/AIs""]",4,4,2.32,Protestant,,Meat-eater,Nothing else to add,19.82,34,Male,Northeast,Hispanic,10,112500,10466,14,0,0,0,0,1,0,1,0,0.4,1,bachelors,18_34,100000_,1.028738033
(6) definitely no,No opinion,(6) definitely no,(3) probably yes,(6) definitely no,(6) definitely no,(2) yes,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(4) probably no,(4) probably no,(6) definitely no,(6) definitely no,(6) definitely no,4,5,4,4,5,4.66,4.6,3.46,2.26,3.58,2.68,4.54,6.52,2.32,1.72,3.1,4.24,No,No,No,1,It's too fast.,1,5,7,7,7,1,6,6,5,4,3,5,6,5,4,6,6,4,5,5,2,4,6,5,5,37,31,92,99,77,48,50,51,83,74,73,54,34,70,5,5,5,2,7,4,No,Not sure,No,0,10,0,7,6,3.52,2,One with humans,Somewhat concerned,Very likely,Strongly support,Strongly support,6,6,6,6,(2) agree,No,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",0,2,2.48,Protestant,,Meat-eater,,12.68,42,Female,Northeast,Asian,11,57500,8873,15,0,0,0,0,0,0,1,0,0.2,7,post_grad,35_54,50000_74999,0.953233813
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,6,6,3,5,6,4.54,5.38,4.06,1.72,5.32,2.56,2.44,4.48,5.2,2.98,4.42,6.16,No,Yes,No,2,It's too fast.,5,3,5,5,5,3,5,6,4,6,4,5,5,7,7,7,5,2,5,3,3,1,2,2,2,26,17,80,25,34,24,65,60,61,34,33,69,65,29,3,1,2,2,6,1,Not sure,No,No,2,5,3,3,5,5.08,5,One with humans,Not very concerned,Somewhat likely,Somewhat support,Somewhat support,6,6,7,7,(2) agree,No,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",0,2,2,None,,Meat-eater,,13.22,38,Female,South,Black,10,52500,21060,16,1,0,0,0,0,0,1,0,0.2,3,bachelors,35_54,50000_74999,0.892354997
(4) probably no,(5) no,(3) probably yes,(2) yes,(3) probably yes,(3) probably yes,(2) yes,No opinion,(5) no,(4) probably no,(3) probably yes,No opinion,(3) probably yes,(4) probably no,No opinion,No opinion,5,4,5,5,4,4.24,4.78,4.06,4.6,4.3,4.3,3.88,3.88,2.92,2.38,3.76,2.62,Not sure,Not sure,Yes,5,It's fine.,5,2,6,2,5,5,5,2,5,7,2,4,5,4,4,3,5,5,6,5,2,3,5,5,5,25,24,54,55,42,54,55,57,48,38,41,51,47,54,6,4,2,6,4,1,Not sure,No,Not sure,4,5,4,7,5,4.48,5,One with humans,Not very concerned,Not at all likely,Somewhat support,Somewhat support,1,5,5,5,(2) agree,No,No,Yes,"[""Read a book or article that discussed AI ethics or moral status""]",3,2,2.76,None,,Meat-eater,None,16.8,52,Male,Northeast,Other (Non-Hispanic),9,62500,10467,17,1,0,0,0,0,1,0,0,0.2,3,associates,35_54,50000_74999,1.158168875
(5) no,(6) definitely no,(6) definitely no,No opinion,(6) definitely no,(5) no,(5) no,(6) definitely no,(6) definitely no,(5) no,(2) yes,(6) definitely no,(5) no,(5) no,(6) definitely no,(5) no,5,4,4,5,4,4.48,4.18,4.24,3.94,4.3,2.26,3.28,5.2,3.28,3.82,5.08,4,Not sure,Not sure,Yes,6,It's fine.,6,2,5,4,4,5,4,4,4,6,2,3,4,4,5,4,4,4,4,4,4,4,4,4,4,25,22,74,68,61,58,48,55,56,57,54,82,56,64,4,4,4,2,4,2,Yes,Not sure,Not sure,3,5,9,2,4,2.14,4,One with humans,Not very concerned,It is already more intelligent than people,Not sure,Not sure,7,6,7,6,(2) agree,No,No,No,"[""None of the above""]",0,0,3.04,None,,Meat-eater,,8.97,32,Female,Northeast,Black,8,12500,8096,18,1,0,0,0,0,0,0,1,0,2,some_college,18_34,_24999,0.960677144
(6) definitely no,(6) definitely no,(6) definitely no,(3) probably yes,(6) definitely no,(6) definitely no,(1) definitely yes,(6) definitely no,(1) definitely yes,(6) definitely no,(1) definitely yes,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,7,7,7,7,7,5.14,3.82,5.38,4.6,5.08,5.44,4.72,4.66,5.02,5.26,4.78,5.26,Yes,Yes,Yes,7,It's fine.,7,1,3,3,1,2,2,2,1,3,2,1,2,6,6,6,6,6,6,6,6,6,6,6,6,70,72,74,72,80,66,62,70,64,77,61,68,70,66,6,6,6,6,6,6,Yes,Yes,Yes,10,14,10,5,5,4.6,7,One with humans,Not at all concerned,Somewhat likely,Somewhat oppose,Strongly support,6,6,6,6,(2) agree,No,No,No,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans""]",0,0,4.16,Catholic,,Meat-eater,Itâ€™s was fun,9.08,29,Male,Northeast,Hispanic,5,27500,6051,19,0,0,0,1,0,0,0,0,0.2,1,high,18_34,25000_49999,1.199583377
(5) no,(2) yes,(5) no,(5) no,(2) yes,(2) yes,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,(2) yes,(5) no,(4) probably no,(3) probably yes,5,4,2,4,3,3.52,2.62,1.48,3.76,3.34,2.62,1.24,1.3,1.48,1.78,1.54,1.48,Not sure,Not sure,Yes,6,It's too fast.,4,2,6,6,6,2,6,3,3,6,3,5,6,4,5,5,1,4,4,4,1,5,5,3,5,29,29,57,60,33,79,60,19,32,63,62,37,18,23,4,2,5,5,5,1,Not sure,Not sure,Not sure,2030,2033,2028,3,2,3.64,6,One with humans,Somewhat concerned,Somewhat likely,Strongly support,Strongly support,7,7,6,7,(2) agree,No,No,No,"[""None of the above""]",0,0,2.48,Protestant,,Meat-eater,None,10.03,62,Female,Northeast,Black,11,37500,10029,20,0,0,0,0,0,0,0,1,0,4,post_grad,55_,25000_49999,0.971443556
(5) no,(5) no,(5) no,(3) probably yes,(5) no,(5) no,(1) definitely yes,(5) no,(3) probably yes,(5) no,(5) no,(5) no,(5) no,(5) no,(6) definitely no,(6) definitely no,6,6,6,6,6,5.26,5.2,4.18,4.78,4.48,4.3,4.84,6.16,4.54,4.48,5.86,5.08,Yes,Yes,No,6,It's fine.,6,1,7,2,2,6,1,1,3,6,1,1,1,6,6,6,6,6,6,6,6,7,6,6,6,62,54,71,60,60,66,58,60,58,46,57,72,62,62,6,7,6,6,6,6,No,No,No,5,25,10,6,5,5.68,6,One with humans,Not at all concerned,Somewhat likely,Strongly oppose,Strongly support,6,6,6,6,(2) agree,Yes,No,Yes,"[""Had a conversation with a robot/AI"",""Had a conversation with a family member or friend about robots/AIs""]",4,4,3,Atheist,,Meat-eater,It was fun I like the topic,8.3,36,Male,West,Asian,10,37500,91803,21,1,0,0,0,1,0,1,0,0.4,2,bachelors,35_54,25000_49999,0.990815234
(5) no,(5) no,(2) yes,(3) probably yes,(5) no,(5) no,(1) definitely yes,(3) probably yes,(5) no,(3) probably yes,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,5,4,5,4,3,5.5,4.9,5.26,5.26,5.44,5.44,5.68,6.04,5.38,5.38,5.62,5.92,Not sure,Not sure,Yes,6,Not sure,6,2,6,5,5,5,4,4,4,4,3,2,4,4,6,6,4,2,4,6,6,6,6,6,6,67,41,78,76,44,74,66,65,65,63,73,80,69,56,6,6,3,3,6,2,No,Not sure,No,60,75,100,7,6,5.44,7,One with humans,Not very concerned,Not very likely,Somewhat support,Somewhat oppose,6,6,7,7,(2) agree,No,No,Yes,"[""None of the above""]",1,2,1.16,Catholic,,Meat-eater,Thank you for allowing my participation in your very thought-provoking survey.  I am appreciative!,12.8,71,Female,Northeast,Hispanic,10,22500,7932,22,0,0,0,0,0,0,0,1,0,2,bachelors,55_,_24999,0.74740091
(6) definitely no,(6) definitely no,(6) definitely no,(3) probably yes,(6) definitely no,(6) definitely no,(2) yes,(6) definitely no,(6) definitely no,(3) probably yes,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,5,2,2,5,2,1.12,1.12,1.54,1.12,1.6,1.18,1.06,1.06,1.06,1.12,1.06,1.06,No,No,No,7,It's too fast.,2,5,5,7,7,1,7,7,6,7,6,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,0,22,1,73,1,1,6,63,98,1,1,70,87,1,1,1,1,1,1,No,No,No,0,0,0,1,5,1.18,1,One with humans,Somewhat concerned,Very likely,Strongly support,Strongly support,6,7,5,1,(2) agree,No,No,No,"[""None of the above""]",0,0,3.08,Protestant,,Meat-eater,,10.35,48,Female,South,Indigenous,11,77500,34488,23,0,0,0,0,0,0,0,1,0,6,post_grad,35_54,75000_99999,0.336121055
(4) probably no,(3) probably yes,(6) definitely no,No opinion,(4) probably no,(6) definitely no,(1) definitely yes,(4) probably no,No opinion,(4) probably no,(4) probably no,(5) no,No opinion,(5) no,(5) no,(4) probably no,6,5,5,5,6,3.64,3.52,4.9,3.28,3.4,4.12,3.34,4.96,4.9,5.68,4.24,4.72,Yes,Yes,Yes,5,It's too fast.,6,6,6,5,6,5,5,6,5,6,7,6,5,5,6,5,6,5,5,5,6,5,5,5,5,34,37,73,64,74,59,69,36,69,59,32,58,26,57,5,5,5,5,5,5,Yes,No,Yes,6,15,10,5,6,2.86,3,One with humans,Not very concerned,Not very likely,Not sure,Somewhat support,7,6,7,7,(2) agree,No,No,Yes,"[""None of the above""]",3,3,2.56,None,,Meat-eater,,57.5,24,Male,Northeast,Hispanic,5,2500,12550,24,1,0,0,0,0,0,0,1,0,2,high,18_34,_24999,1.0069626
(3) probably yes,(3) probably yes,(3) probably yes,(1) definitely yes,(1) definitely yes,(6) definitely no,(4) probably no,(6) definitely no,(4) probably no,(6) definitely no,(6) definitely no,(6) definitely no,(5) no,No opinion,(2) yes,(6) definitely no,2,2,1,2,5,2.86,2.74,1.48,1.66,2.8,2.5,2.2,2.38,4.06,2.68,2.98,3.04,No,Not sure,Not sure,6,It's fine.,5,6,5,5,6,3,6,2,3,3,3,7,6,6,6,7,5,6,6,7,6,6,6,6,5,25,31,17,23,28,29,60,27,23,24,17,13,25,24,6,5,6,2,6,5,Yes,Not sure,No,5,2,5,2,2,1.36,3,One with humans,Very concerned,Very likely,Somewhat support,Somewhat support,6,7,5,6,(2) agree,Yes,No,No,"[""None of the above""]",0,0,2.92,Catholic,,Meat-eater,,7.02,21,Female,Northeast,Black,6,17500,11223,25,0,0,0,0,0,0,0,1,0,3,high,18_34,_24999,0.894121413
(5) no,(2) yes,(2) yes,(1) definitely yes,(1) definitely yes,(2) yes,(1) definitely yes,(5) no,(3) probably yes,(2) yes,(1) definitely yes,(5) no,(2) yes,(3) probably yes,(3) probably yes,(5) no,3,3,5,3,3,4.12,2.2,4,2.02,5.08,4.06,5.08,5.08,4.3,5.02,5.08,5.02,No,No,Yes,5,Not sure,6,2,5,5,5,3,3,7,3,4,5,5,5,4,4,4,6,4,6,5,4,4,5,5,5,50,51,73,76,73,80,50,50,41,77,29,51,72,40,6,4,5,2,7,4,Not sure,Not sure,Not sure,0,5,5,5,5,1,3,One with humans,Not very concerned,Very likely,Somewhat support,Not sure,5,6,6,6,(2) agree,Yes,No,Yes,"[""Read a book or article that discussed AI ethics or moral status""]",1,1,4.92,Other,Jehovah's witness,Meat-eater,,31.8,41,Female,Midwest,Hispanic,9,32500,58638,26,0,0,0,0,0,1,0,0,0.2,2,associates,35_54,25000_49999,0.862037482
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,1,1,1,1,1,1,1,1,1,1.06,1,1.3,2.14,3.46,2.32,1.24,1.9,No,No,Yes,1,It's too fast.,2,5,6,7,7,1,7,7,5,4,6,7,7,5,2,2,2,2,2,2,2,2,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,5,5,3,No,No,Not sure,4,4,4,5,3,1,1,One with humans,Very concerned,Not at all likely,Strongly support,Strongly support,6,6,6,6,(2) agree,No,No,Yes,"[""None of the above""]",0,0,3.08,Undisclosed,,Meat-eater,,12.45,57,Female,South,Black,10,22500,28376,27,1,0,0,0,0,0,0,1,0,6,bachelors,55_,_24999,0.741741378
