PMC1,PMC2,PMC3,PMC4,PMC5,PMC6,PMC7,PMC8,PMC9,PMC10,PMC11,PMC12,MCE1,MCE2,MCE3,MCE4,MCE5,MCE6,MCE7,MCE8,MCE9,MCE21,MCE22,MCE23,MCE24,MCE25,MCE26,MCE27,MCE28,MCE29,MCE30,MCE31,MP1,MP2,MP3,MP4,SI1,SI2,SI3,SI4,SI6,SI7,SI8,SI9,SI10,SI11,SI12,SI13,SI14,SI15,SI16,F1,F11,F2,F3,F4,F5,F6,F7,F8,F9,F10,MCA1,MCA2,MCEn1,MCEn2,Norm,TA1,TA2,Sub1,Sub2,Anth1,Anth2,Anth3,Anth4,attention,own,work,smart,exper,fint,fexp,politics,religion,relelse,diet,feedback,minutes,progress,age,gender,region,raceethnicity,education,income,Pcode,exp_seen_abuse,exp_video_abuse,exp_conv_robot,exp_book_article,exp_conv_friend,exp_none,religionRNR,dietMR,exp_prop,PMC1nr,PMC2nr,PMC3nr,PMC4nr,PMC5nr,PMC6nr,PMC7nr,PMC8nr,PMC9nr,PMC10nr,PMC11nr,PMC12nr,MCE1nr,MCE2nr,MCE3nr,MCE4nr,MCE5nr,MCE6nr,MCE7nr,MCE8nr,MCE9nr,SI1nr,SI2nr,SI3nr,SI4nr,MCA1nr,MCA2nr,MCEn1nr,MCEn2nr,education_recode,age_recode,income_recode,weight
3,7,2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,5,5,5,1,1,5,5,1,4.96,5,5,0,0,61,31,1,1,2,2,6,3,5,2,4,3,5,3,4,7,1,No,Yes,40,25,80,5,5,5,5,5,5,2,6,4,7,4,1.06,1,1.06,1.06,0,0,0,0,(2) agree,Yes,No,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status""]",1,4,1.04,Atheist,,Meat-eater,,8.22,0.923076923,44,Male,Midwest,Hispanic,10,87500,11,0,1,1,1,0,0,1,0,0.6,3,6,2,,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,1,1,2,2,2,5,,6,bachelors,35_54,75000_99999,0.941601313
7,5,7,7,2,2,2,2,1,1,1,1,5,1,5,4,7,1,4,3,5,3.64,1.2,3.88,1.36,2.24,2.36,2.04,1.04,3.72,3.6,3.76,8,9,83,63,6,7,7,7,1,1,1,1,1,1,2,1,1,1,1,No,No,1,0,98,1.04,1,1.32,4.96,1.12,4.72,7,7,7,7,1.18,1.12,1.18,6.88,2.92,0.1,8.3,6.5,0.1,(2) agree,Yes,No,Yes,"[""None of the above""]",0,0,4.32,Protestant,,Meat-eater,,14.22,0.923076923,50,Female,West,Hispanic,8,2500,12,0,0,0,0,0,1,0,0,0,6,4,6,6,2,2,2,2,1,1,1,1,4,1,4,,6,1,,3,4,5,6,6,6,6,6,6,6,some_college,35_54,_24999,0.894267679
5,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1.16,1.24,1.16,1.24,1.2,1.08,1.4,1.2,1.32,1.16,1.28,34,27,55,52,6,7,7,6,1,1,1,1,1,1,1,1,1,1,1,Not sure,No,-1,-1,53,1.04,1.6,3.12,1.04,1.56,1.04,5,2,5,6,5.5,1.78,1.54,6.94,6.88,0.3,2.1,0.9,0.4,(2) agree,No,No,No,[],0,0,3.32,None,,Other restrictions,,6.93,0.923076923,40,Female,Northeast,Hispanic,4,12500,13,0,0,0,0,0,0,1,1,0,4,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5,6,6,5,4,2,4,5,less_than_high,35_54,_24999,0.885735175
6,6,6,6,6,6,6,6,6,6,5,6,5,5,5,6,6,5,6,6,6,3.96,4,3.64,4,3.8,3.84,3.96,3.84,3.44,4.2,3.6,74,65,59,76,6,6,5,6,5,5,4,4,5,5,5,4,4,4,5,Yes,Yes,1,1,76,3.84,4.2,4.2,3.72,3.72,3.96,6,6,6,6,5.02,5.74,5.32,5.38,5.2,6.8,8.1,7.6,7.9,(2) agree,No,No,No,"[""None of the above""]",2,2,3.6,Protestant,I am protestant,Meat-eater,Very well this survey.,9.92,0.923076923,67,Male,West,Hispanic,9,72500,14,0,0,0,0,0,1,0,0,0,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,associates,55_,50000_74999,1.119489575
7,6,7,7,6,6,7,7,5,6,2,1,6,6,5,5,5,3,7,7,7,5,2.52,5,3,2,3,2,4,3.52,4.52,2,30,30,90,20,5,7,7,7,7,7,7,3,4,6,4,5,6,7,6,Not sure,Yes,3,0,100,5,3,3,5,5,5,7,7,7,7,3.52,1,1,5.02,3.04,0.5,0.5,0.5,0.5,(2) agree,No,No,Yes,"[""None of the above""]",0,2,2.2,Buddhist,,Meat-eater,,22.23,0.923076923,57,Female,West,Hispanic,10,57500,15,0,0,0,0,0,1,0,0,0,6,5,6,6,5,5,6,6,4,5,2,1,5,5,4,4,4,3,6,6,6,4,6,6,6,6,6,6,6,bachelors,55_,50000_74999,0.871191772
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,0,0,100,15,1,1,1,2,7,7,7,7,7,7,7,7,7,7,7,No,Yes,100,100,65,5,3.04,5,5,5,5,7,2,7,7,5.92,1.06,5.98,1,4.18,0.1,0.2,0.1,0.1,(2) agree,Yes,No,Yes,"[""Read a book or article that discussed AI ethics or moral status""]",1,1,2.96,None,,Meat-eater,,8.78,0.923076923,19,Male,West,Hispanic,7,2500,16,0,0,0,1,0,0,1,0,0.2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,6,2,6,6,some_college,18_34,_24999,1.12337376
7,7,7,7,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,4,4,4.96,4.96,4.92,4.96,5,4.96,5,4.96,5,4.96,4.92,2,3,2,2,4,7,7,7,1,1,1,1,1,1,1,1,1,1,1,Not sure,Not sure,0,0,0,1,1,5,1,1,1,7,7,7,6,7,1,1,7,7,4.9,5,10,5,(2) agree,No,No,No,"[""Had a conversation with a family member or friend about robots/AIs""]",0,1,4.48,Catholic,,Meat-eater,Thanks for this survey.,15.62,0.923076923,30,Female,Midwest,Hispanic,10,17500,17,0,0,0,0,1,0,0,0,0.2,6,6,6,6,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,6,6,6,6,6,6,5,bachelors,18_34,_24999,0.587499556
2,6,2,2,6,4,6,6,4,6,2,2,5,6,7,6,7,4,7,7,7,2.48,1.4,2.24,2.08,1.12,1.4,1.32,2.24,1.16,2.12,2.24,0,2,94,70,7,2,2,2,3,3,3,3,3,2,6,5,2,1,1,No,No,10,10,9,3.4,2.28,2.76,1.28,1.56,1.28,6,5,6,5,5.5,1.06,1,5.5,4,0.1,0.1,0.1,0.1,(2) agree,No,No,Yes,"[""None of the above""]",2,2,3,Catholic,,Meat-eater,,22.7,0.923076923,53,Male,South,Hispanic,9,17500,18,0,0,0,0,0,1,0,0,0,2,5,2,2,5,,5,5,,5,2,2,4,5,6,5,6,,6,6,6,6,2,2,2,5,4,5,4,associates,35_54,_24999,0.734098256
7,1,7,7,7,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.96,4.96,4.96,4.96,4.96,4.96,4.96,5,4.96,5,4.96,99,99,99,100,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,Not sure,No,0,0,0,1.04,1,1.04,1,1.04,1,2,2,2,2,7,1,1.06,6.94,6.94,0.1,0,0.1,0,(2) agree,No,No,No,"[""None of the above""]",0,0,4.96,Other,christian,Meat-eater,,22.7,0.923076923,76,Male,West,Other (Non-Hispanic),8,52500,19,0,0,0,0,0,1,0,0,0,6,1,6,6,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,2,2,2,2,some_college,55_,50000_74999,1.553270897
5,5,3,5,3,3,5,4,2,5,4,4,5,3,6,3,6,1,6,4,6,4.24,3.76,3.4,3.44,2.12,3.16,3.48,1.84,3.12,4.64,2.12,55,63,69,59,5,5,5,5,4,2,3,3,3,4,3,2,4,6,1,Not sure,Yes,10,20,90,2.52,2.6,4.12,3.28,3.24,4.12,6,5,6,6,4.06,1.36,4.66,5.02,5.62,3.5,8.7,6.9,2,(2) agree,No,No,Yes,"[""Had a conversation with a robot/AI""]",5,2,3.04,Catholic,,Meat-eater,,27.6,0.923076923,21,Male,West,Hispanic,9,37500,20,0,0,1,0,0,0,0,0,0.2,4,4,3,4,3,3,4,,2,4,,,4,3,5,3,5,1,5,,5,4,4,4,4,5,4,5,5,associates,18_34,25000_49999,0.901768452
2,1,5,2,6,7,6,6,7,6,7,6,5,7,7,3,7,6,5,6,6,4.04,3.64,3.76,3.88,3.76,3.6,3.68,3.8,3.8,4.04,3.52,78,74,78,66,6,7,7,6,7,7,7,6,7,6,7,7,6,7,7,No,Yes,5,6,76,3.52,3.56,3.64,3.8,3.72,3.68,6,6,7,6,5.86,5.38,5.56,5.38,4.9,6.6,7.1,6.9,7,(2) agree,Yes,No,Yes,"[""Saw a robot being physically abused or attacked by humans"",""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",4,4,3.96,Catholic,,Meat-eater,,83.63,0.923076923,37,Male,Northeast,Hispanic,10,300000,21,1,1,1,1,1,0,0,0,1,2,1,4,2,5,6,5,5,6,5,6,5,4,6,6,3,6,5,4,5,5,5,6,6,5,5,5,6,5,bachelors,35_54,100000_,1.107264973
6,6,6,6,5,7,5,5,6,4,6,5,6,6,6,6,7,6,5,6,6,3.4,3.8,3.28,3.44,2.36,3.2,2.2,2.44,3.48,3.4,3.84,52,45,53,42,5,2,3,5,6,4,4,5,5,6,5,4,4,5,5,Yes,Yes,1,1,62,3.4,2.4,3.16,2.8,2.92,2.6,7,7,7,7,4.84,4.72,4.42,4.42,5.14,5.6,7,6.3,5.9,(2) agree,Yes,Yes,No,"[""Saw a robot being physically abused or attacked by humans"",""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a family member or friend about robots/AIs""]",2,2,3,Agnostic,,Vegan,No,8.07,0.923076923,25,Male,South,Hispanic,8,97500,22,1,1,0,0,1,0,1,1,0.6,5,5,5,5,4,6,4,4,5,,5,4,5,5,5,5,6,5,4,5,5,4,2,3,4,6,6,6,6,some_college,18_34,75000_99999,1.540412291
7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1.2,1.28,1.24,1.2,1.2,1.16,1.28,1.2,1.16,1.32,1.28,72,70,73,0,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,No,No,50,1,82,4.84,1,4.8,1,1.12,4.96,6,7,7,7,7,1,1,7,7,0.1,0,0,0,(2) agree,No,No,No,"[""None of the above""]",0,0,2.8,Protestant,,Meat-eater,,11.07,0.923076923,76,Male,South,Other (Non-Hispanic),11,87500,23,0,0,0,0,0,1,0,0,0,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,5,6,6,6,post_grad,55_,75000_99999,1.00500505
3,4,5,6,2,2,4,3,2,4,3,1,3,4,3,2,4,2,7,6,4,3.6,3.84,4.2,1.84,3.4,4.2,3.84,3.4,2.08,4.04,3.48,34,21,58,54,4,4,3,4,2,3,2,5,4,3,2,7,5,4,2,No,No,1,20,3,4.08,2.72,3.8,2.64,2.88,2.92,7,7,7,7,6.52,1.12,4.12,3.34,4.18,0.3,6.5,5.9,0.8,(2) agree,No,No,No,"[""None of the above""]",0,0,3.72,Agnostic,,Meat-eater,,27.98,0.923076923,56,Female,South,Hispanic,9,72500,24,0,0,0,0,0,1,1,0,0,3,,4,5,2,2,,3,2,,3,1,3,,3,2,,2,6,5,,,,3,,6,6,6,6,associates,55_,50000_74999,0.917992582
3,5,3,6,3,5,5,5,3,6,5,2,5,6,6,6,2,5,6,5,6,3.52,3.2,2.72,1.2,2,3.68,1.28,2.2,2.04,2.12,1.76,5,8,55,53,6,6,6,6,1,1,1,1,2,2,7,1,1,1,1,No,Not sure,20,3,83,4.32,3.36,3.6,3.84,3.6,3.76,7,6,7,7,5.32,1,2.32,2.2,2.32,0.1,0,7.1,0.1,(2) agree,Yes,Yes,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",4,4,3.32,Catholic,,Meat-eater,,20.7,0.923076923,66,Male,South,Other (Non-Hispanic),10,2500,25,0,1,0,1,1,0,0,0,0.6,3,4,3,5,3,4,4,4,3,5,4,2,4,5,5,5,2,4,5,4,5,5,5,5,5,6,5,6,6,bachelors,55_,_24999,0.66262561
5,5,5,5,2,1,5,6,3,2,5,2,7,6,6,6,7,5,7,5,7,4.56,1,4,4.56,4.4,2.04,4.04,4,4.08,2.24,1,100,100,100,100,2,6,6,6,6,5,6,7,7,6,7,6,7,6,6,Not sure,Not sure,-1,-1,32,5,1,5,5,5,5,2,7,5,6,1,1,7,1,7,10,10,10,10,(2) agree,Yes,No,No,"[""None of the above""]",0,0,5,Catholic,,Meat-eater,,9.22,0.923076923,28,Female,West,Hispanic,5,2500,26,0,0,0,0,0,1,0,0,0,4,4,4,4,2,1,4,5,3,2,4,2,6,5,5,5,6,4,6,4,6,2,5,5,5,2,6,4,5,high,18_34,_24999,0.833130319
7,1,5,7,1,7,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,1.84,3.64,1.84,2.08,1.96,1.48,1.36,1.52,1.48,1.36,1.52,25,19,19,16,5,7,7,7,5,5,1,2,1,1,2,1,4,1,5,No,No,-1,-1,51,1.84,1.84,3.52,1.88,1.2,2.16,7,6,7,7,5.8,1.18,1.24,2.62,3.22,2,0.1,0.2,0.9,(2) agree,No,No,No,"[""None of the above""]",0,0,2.64,Atheist,,Other restrictions,,8.25,0.923076923,43,Female,West,Hispanic,7,77500,27,0,0,0,0,0,1,1,1,0,6,1,4,6,1,6,1,1,1,1,1,1,4,1,4,1,4,1,4,4,4,4,6,6,6,6,5,6,6,some_college,35_54,75000_99999,1.242048185
1,1,4,7,1,1,5,6,1,3,6,3,6,2,7,3,7,1,7,7,7,1.76,1.68,1.6,3.64,2.16,3.52,4.56,3.48,1.84,1.64,1.32,29,32,99,85,3,3,3,7,1,1,1,3,1,1,3,2,2,1,2,No,Not sure,0,-1,94,3.8,3.76,3.92,3.76,3.92,4.08,6,6,5,7,5.26,1.24,4.36,3.04,1.36,1.7,1.2,0.9,1.1,(2) agree,Yes,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",5,0,3.48,Catholic,,Pescatarian,,10.62,0.923076923,38,Female,South,Hispanic,9,300000,28,0,0,0,0,1,0,0,1,0.2,1,1,,6,1,1,4,5,1,3,5,3,5,2,6,3,6,1,6,6,6,3,3,3,6,5,5,4,6,associates,35_54,100000_,0.965638578
4,4,4,4,4,2,5,4,4,4,5,2,4,4,4,4,4,4,4,4,4,2.44,2.72,2.4,3.08,2.96,2.8,3.2,2.32,2.32,2.96,3.04,71,45,76,69,4,4,3,4,4,5,3,4,4,4,4,2,5,3,4,Not sure,Not sure,10,10,33,3.2,2.56,3.68,2.96,2.52,3.04,5,5,5,5,2.38,2.74,4,3.94,3.94,4.4,4.7,5,5,(2) agree,No,No,No,"[""None of the above""]",0,0,2.92,Catholic,,Meat-eater,,21.82,0.923076923,35,Female,South,Hispanic,10,2500,29,0,0,0,0,0,1,0,0,0,,,,,,2,4,,,,4,2,,,,,,,,,,,,3,,4,4,4,4,bachelors,35_54,_24999,0.571278531
1,5,1,1,5,3,5,7,5,6,5,5,7,5,5,7,7,2,7,7,7,4,3.84,4.4,3,3.8,2.24,4.76,1.64,3.12,4.68,4.4,59,51,92,79,5,5,3,5,6,6,5,6,5,1,5,2,6,4,6,Not sure,Yes,15,10,93,4.28,3,4.16,4.24,4.32,3.72,7,7,7,7,1.3,4,4.48,3.16,1.54,4.9,4.9,5,4.9,(2) agree,Yes,No,No,"[""None of the above""]",0,0,1,Agnostic,,Meat-eater,,13.6,0.923076923,31,Female,West,Hispanic,10,42500,30,0,0,0,0,0,1,1,0,0,1,4,1,1,4,3,4,6,4,5,4,4,6,4,4,6,6,2,6,6,6,4,4,3,4,6,6,6,6,bachelors,18_34,25000_49999,0.701760225
4,4,4,3,1,1,4,4,1,4,4,1,4,4,4,2,4,1,4,4,4,3.52,2,3.2,2,3,1,2,1.08,3,3.52,3.52,50,50,65,25,4,4,6,7,5,4,2,1,2,3,2,2,2,4,4,No,Yes,10,20,80,3,3,3.52,2,2,2.8,5,4,2,1,4,3.52,5.5,6.04,4,3,1,3,2,(2) agree,No,No,Yes,"[""None of the above""]",0,0,3,Catholic,,Meat-eater,,9.1,0.923076923,43,Male,South,Hispanic,10,77500,31,0,0,0,0,0,1,0,0,0,,,,3,1,1,,,1,,,1,,,,2,,1,,,,,,5,6,4,,2,1,bachelors,35_54,75000_99999,0.955303756
3,2,2,2,6,6,6,7,7,6,6,6,7,3,7,7,7,3,6,6,6,5,5,5,5,4.92,4.96,5,5,5,5,4.96,97,97,97,100,2,2,2,2,3,1,1,2,2,3,6,1,3,5,7,No,Yes,20,1,100,5,2.88,5,5,5,5,7,7,7,7,6.94,6.88,7,7,7,9.4,10,10,10,(2) agree,No,No,Yes,"[""None of the above""]",0,0,1,Protestant,,Meat-eater,A little confused but thanks for the survey,34.93,0.923076923,64,Male,South,Hispanic,9,52500,32,0,0,0,0,0,1,0,0,0,3,2,2,2,5,5,5,6,6,5,5,5,6,3,6,6,6,3,5,5,5,2,2,2,2,6,6,6,6,associates,55_,50000_74999,1.105253359
5,3,5,5,2,2,2,2,3,2,2,2,3,2,3,3,3,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1.04,0,0,25,12,4,3,5,6,1,1,2,1,1,2,1,1,3,1,1,Not sure,Not sure,10,5,7,1.16,1.2,1.28,1.08,1.36,1.2,6,6,6,3,1.6,1.24,1.72,5.14,4.84,0.3,0.6,0.4,0.7,(2) agree,No,No,Yes,"[""Had a conversation with a robot/AI""]",0,0,2.64,None,,Meat-eater,,12.33,0.923076923,28,Female,South,Hispanic,5,32500,33,0,0,1,0,0,0,1,0,0.2,4,3,4,4,2,2,2,2,3,2,2,2,3,2,3,3,3,3,,,1,,3,4,5,5,5,5,3,high,18_34,25000_49999,0.95609995
